A(X);B(X)
158.85714;105.5081
159;104.27199
159.14286;103.68287
159.28571;103.84144
159.42857;102.81134
159.57143;99.65741
159.71429;101.98611
159.85714;107.59722
160;110.09607
160.14286;108.89815
160.28571;107.14931
160.42857;104.89931
160.57143;102.34954
160.71429;102.71065
160.85714;102.19097
161;103.4456
161.14286;105.33796
161.28571;104.79398
161.42857;101.85995
161.57143;101.31366
161.71429;102.77662
161.85714;103.90857
162;103.30208
162.14286;101.05903
162.28571;99.80787
162.42857;102.07176
162.57143;100.59491
162.71429;103.78588
162.85714;101.02083
163;101.42708
163.14286;99.94213
163.28571;102.55671
163.42857;101.57755
