A(X);B(Y)
1.606;2.81E-06
1.608;-9.90E-07
1.61;8.90E-07
1.612;4.01E-06
1.614;2.47E-06
1.616;2.26E-06
1.618;1.80E-07
1.62;-2.90E-07
1.622;-4.47E-06
1.624;-2.07E-06
1.626;-2.92E-06
1.628;-5.93E-06
1.63;-1.01E-06
1.632;-5.10E-07
1.634;-1.75E-06
1.636;-3.26E-06
1.638;-1.50E-06
1.64;-1.47E-06
1.642;-1.51E-06
1.644;1.03E-06
1.646;-2.09E-06
1.648;-4.40E-07
1.65;1.48E-06
1.652;-5.20E-06
1.654;1.74E-06
1.656;3.97E-06
1.658;-2.30E-07
1.66;6.00E-08
1.662;-2.32E-06
1.664;-1.91E-06
1.666;-2.63E-06
1.668;1.01E-06
1.67;1.19E-06
1.672;9.50E-07
1.674;4.34E-06
1.676;3.22E-06
1.678;1.72E-06
1.68;-2.21E-06
1.682;-3.70E-07
1.684;-2.33E-06
1.686;1.29E-06
1.688;-2.41E-06
1.69;-3.77E-06
1.692;5.90E-07
1.694;1.17E-06
1.696;4.90E-07
1.698;-2.70E-07
1.7;-2.95E-06
1.702;-1.73E-06
1.704;-5.22E-06
1.706;-3.85E-06
1.708;-2.18E-06
1.71;-2.48E-06
1.712;1.30E-07
1.714;2.88E-06
1.716;1.90E-06
1.718;-2.02E-06
1.72;-1.38E-06
1.722;-2.29E-06
1.724;-3.09E-06
1.726;-1.33E-06
1.728;-8.10E-07
1.73;2.36E-06
1.732;5.65E-06
1.734;3.89E-06
1.736;1.08E-06
1.738;2.77E-06
1.74;2.00E-06
1.742;3.80E-07
1.744;3.00E-07
1.746;1.49E-06
1.748;-1.08E-06
1.75;4.00E-07
1.752;3.50E-06
1.754;4.39E-06
1.756;4.72E-06
1.758;2.77E-06
1.76;1.41E-06
1.762;-2.37E-06
1.764;-3.50E-07
1.766;-2.30E-07
1.768;1.90E-06
1.77;4.53E-06
1.772;3.61E-06
1.774;2.83E-06
1.776;4.43E-06
1.778;3.80E-06
1.78;-3.00E-07
1.782;-1.42E-06
1.784;1.65E-06
1.786;1.04E-06
1.788;3.22E-06
1.79;1.55E-06
1.792;4.60E-07
1.794;3.47E-06
1.796;4.54E-06
1.798;2.86E-06
1.8;-6.40E-07
1.802;-1.90E-07
1.804;-9.37E-06
1.806;-3.72E-06
1.808;-1.94E-06
1.81;7.40E-07
1.812;2.66E-06
1.814;2.09E-06
1.816;3.06E-06
1.818;2.69E-06
1.82;2.02E-06
1.822;-3.51E-06
1.824;-1.52E-06
1.826;8.60E-07
1.828;1.34E-06
1.83;-1.10E-07
1.832;1.76E-06
1.834;2.22E-06
1.836;1.07E-06
1.838;3.38E-06
1.84;-9.10E-07
1.842;-6.83E-06
1.844;-4.03E-06
1.846;3.00E-07
1.848;-5.39E-06
1.85;3.28E-06
1.852;1.96E-06
1.854;6.00E-07
1.856;-2.30E-06
1.858;-3.01E-06
1.86;-2.81E-06
1.862;-3.69E-06
1.864;-2.52E-06
1.866;-6.87E-06
1.868;-4.81E-06
1.87;-5.04E-06
1.872;-1.64E-06
1.874;-6.00E-08
1.876;-5.80E-06
1.878;-5.11E-06
1.88;-3.96E-06
1.882;-5.35E-06
1.884;-3.24E-06
1.886;-2.97E-06
1.888;-1.99E-06
1.89;-5.17E-06
1.892;-2.14E-06
1.894;-2.47E-06
1.896;-4.30E-07
1.898;-4.00E-07
1.9;2.08E-06
1.902;-4.40E-07
1.904;-1.69E-06
1.906;2.50E-07
1.908;-1.06E-06
1.91;-7.00E-08
1.912;6.50E-07
1.914;3.40E-07
1.916;3.49E-06
1.918;-2.30E-07
1.92;-3.73E-06
1.922;-4.79E-06
1.924;-2.47E-06
1.926;-2.80E-06
1.928;-4.46E-06
1.93;-2.85E-06
1.932;1.31E-06
1.934;2.13E-06
1.936;4.80E-07
1.938;4.60E-07
1.94;-2.84E-06
1.942;-3.30E-06
1.944;-3.63E-06
1.946;-1.76E-06
1.948;-5.27E-06
1.95;9.40E-07
1.952;-3.62E-06
1.954;-1.33E-06
1.956;-4.64E-06
1.958;-1.80E-07
1.96;-4.59E-06
1.962;-1.69E-06
1.964;1.20E-06
1.966;-1.10E-07
1.968;0
1.97;3.64E-06
1.972;4.01E-06
1.974;3.97E-06
1.976;5.10E-06
1.978;4.00E-06
1.98;-2.30E-07
1.982;1.25E-06
1.984;-1.24E-06
1.986;-8.30E-07
1.988;-2.53E-06
1.99;1.10E-07
1.992;-1.00E-07
1.994;1.50E-06
1.996;2.51E-06
1.998;2.72E-06
2;-3.34E-06
2.002;-1.08E-06
2.004;-4.14E-06
2.006;-6.20E-07
2.008;-6.00E-07
2.01;-2.23E-06
2.012;1.07E-06
2.014;2.92E-06
2.016;2.89E-06
2.018;2.23E-06
2.02;-4.80E-07
2.022;6.90E-07
2.024;3.10E-07
2.026;2.10E-06
2.028;-3.30E-07
2.03;4.32E-06
2.032;4.51E-06
2.034;8.20E-07
2.036;2.69E-06
2.038;2.45E-06
2.04;-2.61E-06
2.042;3.30E-07
2.044;2.10E-07
2.046;1.25E-06
2.048;1.10E-07
2.05;3.56E-06
2.052;2.61E-06
2.054;5.34E-06
2.056;3.11E-06
2.058;1.69E-06
2.06;1.23E-06
2.062;-9.00E-08
2.064;7.30E-07
2.066;-7.43E-06
2.068;5.86E-06
2.07;2.99E-06
2.072;3.65E-06
2.074;5.19E-06
2.076;3.47E-06
2.078;-9.30E-07
2.08;6.60E-07
2.082;2.02E-06
2.084;1.35E-06
2.086;-4.00E-08
2.088;3.35E-06
2.09;4.69E-06
2.092;3.62E-06
2.094;4.46E-06
2.096;2.75E-06
2.098;1.43E-06
2.1;-5.70E-07
2.102;3.72E-06
2.104;9.00E-08
2.106;-8.30E-07
2.108;2.30E-06
2.11;3.13E-06
2.112;5.53E-06
2.114;3.19E-06
2.116;2.89E-06
2.118;2.05E-06
2.12;2.37E-06
2.122;-4.00E-07
2.124;-4.43E-06
2.126;-2.63E-06
2.128;-1.60E-07
2.13;4.90E-06
2.132;1.11E-06
2.134;6.12E-06
2.136;2.27E-06
2.138;1.52E-06
2.14;1.67E-06
2.142;1.72E-06
2.144;7.00E-07
2.146;1.40E-07
2.148;2.40E-06
2.15;3.71E-06
2.152;1.70E-06
2.154;3.38E-06
2.156;3.60E-06
2.158;3.17E-06
2.16;3.90E-07
2.162;-1.56E-06
2.164;-4.24E-06
2.166;1.15E-06
2.168;1.15E-06
2.17;1.96E-06
2.172;3.89E-06
2.174;4.45E-06
2.176;4.23E-06
2.178;1.24E-06
2.18;5.70E-07
2.182;1.25E-06
2.184;3.84E-06
2.186;4.86E-06
2.188;2.70E-06
2.19;4.24E-06
2.192;3.81E-06
2.194;4.94E-06
2.196;4.05E-06
2.198;2.99E-06
2.2;4.49E-06
2.202;1.65E-06
2.204;2.18E-06
2.206;7.80E-07
2.208;6.80E-07
2.21;2.51E-06
2.212;5.86E-06
2.214;3.11E-06
2.216;3.20E-06
2.218;-4.13E-06
2.22;5.75E-06
2.222;1.27E-06
2.224;3.00E-07
2.226;3.23E-06
2.228;7.00E-08
2.23;4.70E-06
2.232;4.36E-06
2.234;4.49E-06
