,A(x),B(Y)
,"-103,492","1,47E-06"
,"-103,49","4,90E-07"
,"-103,488","2,08E-06"
,"-103,486","-5,40E-07"
,"-103,484","-9,30E-07"
,"-103,482","-1,57E-06"
,"-103,48","-2,90E-06"
,"-103,478","-2,55E-06"
,"-103,476","2,48E-06"
,"-103,474","1,36E-06"
,"-103,472","2,05E-06"
,"-103,47","3,80E-07"
,"-103,468","1,53E-06"
,"-103,466","-1,10E-07"
,"-103,464","-3,30E-06"
,"-103,462","-2,20E-06"
,"-103,46","-2,01E-06"
,"-103,458","1,89E-06"
,"-103,456","2,52E-06"
,"-103,454","3,51E-06"
,"-103,452","4,27E-06"
,"-103,45","1,03E-06"
,"-103,448","2,83E-06"
,"-103,446","-2,11E-06"
,"-103,444","1,49E-06"
,"-103,442","-3,12E-06"
,"-103,44","-1,89E-06"
,"-103,438","-1,41E-06"
,"-103,436","-1,00E-06"
,"-103,434","-6,60E-07"
,"-103,432","1,10E-06"
,"-103,43","3,70E-07"
,"-103,428","-1,17E-06"
,"-103,426","-5,60E-07"
,"-103,424","-2,10E-06"
,"-103,422","-3,43E-06"
,"-103,42","-1,60E-06"
,"-103,418","-6,80E-07"
,"-103,416","1,78E-06"
,"-103,414","1,80E-06"
,"-103,412","1,37E-06"
,"-103,41","8,70E-07"
,"-103,408","1,80E-07"
,"-103,406","-4,80E-07"
,"-103,404","-2,18E-06"
,"-103,402","-3,12E-06"
,"-103,4","-3,59E-06"
,"-103,398","-6,15E-06"
,"-103,396","-3,75E-06"
,"-103,394","-2,68E-06"
,"-103,392","-3,60E-07"
,"-103,39","2,62E-06"
,"-103,388","7,30E-07"
,"-103,386","-8,80E-07"
,"-103,384","-2,96E-06"
,"-103,382","4,50E-07"
,"-103,38","-9,20E-07"
,"-103,378","1,10E-07"
,"-103,376","2,88E-06"
,"-103,374","5,92E-06"
,"-103,372","2,11E-06"
,"-103,37","2,45E-06"
,"-103,368","-3,60E-07"
,"-103,366","-9,50E-07"
,"-103,364","-1,98E-06"
,"-103,362","-2,99E-06"
,"-103,36","-1,41E-06"
,"-103,358","7,40E-07"
,"-103,356","-1,50E-07"
,"-103,354","1,08E-06"
,"-103,352","4,74E-06"
,"-103,35","3,19E-06"
,"-103,348","2,97E-06"
,"-103,346","3,55E-06"
,"-103,344","3,00E-06"
,"-103,342","-1,50E-07"
,"-103,34","2,75E-06"
,"-103,338","1,71E-06"
,"-103,336","4,58E-06"
,"-103,334","4,57E-06"
,"-103,332","1,03E-06"
,"-103,33","2,41E-06"
,"-103,328","1,82E-06"
,"-103,326","2,28E-06"
,"-103,324","5,00E-07"
,"-103,322","5,40E-07"
,"-103,32","4,70E-07"
,"-103,318","4,00E-08"
,"-103,316","1,37E-06"
,"-103,314","4,18E-06"
,"-103,312","4,86E-06"
,"-103,31","3,32E-06"
,"-103,308","7,24E-06"
,"-103,306","4,10E-06"
,"-103,304","1,34E-06"
,"-103,302","1,90E-07"
,"-103,3","-1,61E-06"
,"-103,298","-9,30E-07"
,"-103,296","-1,33E-06"
,"-103,294","4,01E-06"
,"-103,292","1,83E-06"
,"-103,29","1,42E-06"
,"-103,288","3,90E-07"
,"-103,286","-2,06E-06"
,"-103,284","-1,86E-06"
,"-103,282","-2,42E-06"
,"-103,28","-3,51E-06"
,"-103,278","-2,65E-06"
,"-103,276","5,39E-06"
,"-103,274","1,43E-06"
,"-103,272","3,86E-06"
,"-103,27","1,01E-06"
,"-103,268","-6,80E-07"
,"-103,266","-6,10E-07"
,"-103,264","1,44E-06"
,"-103,262","-2,83E-06"
,"-103,26","-8,90E-07"
,"-103,258","1,73E-06"
,"-103,256","2,67E-06"
,"-103,254","4,05E-06"
,"-103,252","4,80E-07"
,"-103,25","2,48E-06"
,"-103,248","2,48E-06"
,"-103,246","-1,69E-06"
,"-103,244","-2,35E-06"
,"-103,242","-3,30E-06"
,"-103,24","-1,08E-06"
,"-103,238","-5,80E-07"
,"-103,236","1,25E-06"
,"-103,234","1,15E-06"
,"-103,232","3,93E-06"
,"-103,23","-2,25E-06"
,"-103,228","-9,20E-07"
,"-103,226","-2,30E-07"
,"-103,224","-1,16E-06"
,"-103,222","-1,75E-06"
,"-103,22","-2,49E-06"
,"-103,218","-1,72E-06"
,"-103,216","3,50E-07"
,"-103,214","1,50E-06"
,"-103,212","1,33E-06"
,"-103,21","2,02E-06"
,"-103,208","2,25E-06"
,"-103,206","-1,22E-06"
,"-103,204","4,95E-06"
,"-103,202","-7,30E-07"
